chunk,size,label_distribution,label_proportions
1,2368,"{0: 237, 1: 219, 2: 243, 3: 260, 4: 245, 5: 231, 6: 237, 7: 213, 8: 238, 9: 245}","{0: 0.10008445945945946, 1: 0.09248310810810811, 2: 0.10261824324324324, 3: 0.1097972972972973, 4: 0.10346283783783784, 5: 0.09755067567567567, 6: 0.10008445945945946, 7: 0.08994932432432433, 8: 0.10050675675675676, 9: 0.10346283783783784}"
2,2581,"{0: 263, 1: 252, 2: 268, 3: 242, 4: 241, 5: 269, 6: 264, 7: 261, 8: 254, 9: 267}","{0: 0.1018984889577683, 1: 0.0976365749709415, 2: 0.10383572258814414, 3: 0.09376210771018985, 4: 0.09337466098411469, 5: 0.1042231693142193, 6: 0.10228593568384348, 7: 0.10112359550561797, 8: 0.09841146842309183, 9: 0.10344827586206896}"
3,2845,"{0: 288, 1: 293, 2: 284, 3: 298, 4: 281, 5: 298, 6: 291, 7: 274, 8: 284, 9: 254}","{0: 0.10123022847100176, 1: 0.10298769771528998, 2: 0.09982425307557118, 3: 0.10474516695957821, 4: 0.09876977152899824, 5: 0.10474516695957821, 6: 0.10228471001757469, 7: 0.09630931458699472, 8: 0.09982425307557118, 9: 0.08927943760984183}"
4,2520,"{0: 243, 1: 302, 2: 251, 3: 252, 4: 252, 5: 225, 6: 239, 7: 259, 8: 266, 9: 231}","{0: 0.09642857142857143, 1: 0.11984126984126985, 2: 0.0996031746031746, 3: 0.1, 4: 0.1, 5: 0.08928571428571429, 6: 0.09484126984126984, 7: 0.10277777777777777, 8: 0.10555555555555556, 9: 0.09166666666666666}"
5,2104,"{0: 238, 1: 201, 2: 225, 3: 214, 4: 209, 5: 207, 6: 214, 7: 212, 8: 192, 9: 192}","{0: 0.11311787072243346, 1: 0.09553231939163498, 2: 0.10693916349809886, 3: 0.10171102661596958, 4: 0.09933460076045628, 5: 0.09838403041825095, 6: 0.10171102661596958, 7: 0.10076045627376426, 8: 0.09125475285171103, 9: 0.09125475285171103}"
6,2574,"{0: 246, 1: 291, 2: 247, 3: 263, 4: 275, 5: 259, 6: 252, 7: 264, 8: 232, 9: 245}","{0: 0.09557109557109557, 1: 0.11305361305361306, 2: 0.09595959595959595, 3: 0.10217560217560218, 4: 0.10683760683760683, 5: 0.10062160062160062, 6: 0.0979020979020979, 7: 0.10256410256410256, 8: 0.09013209013209013, 9: 0.09518259518259518}"
7,2502,"{0: 237, 1: 244, 2: 250, 3: 267, 4: 246, 5: 248, 6: 246, 7: 233, 8: 257, 9: 274}","{0: 0.09472422062350119, 1: 0.09752198241406874, 2: 0.09992006394884093, 3: 0.10671462829736211, 4: 0.09832134292565947, 5: 0.0991207034372502, 6: 0.09832134292565947, 7: 0.09312549960031974, 8: 0.10271782573940848, 9: 0.10951239008792965}"
8,2127,"{0: 218, 1: 198, 2: 182, 3: 208, 4: 218, 5: 236, 6: 217, 7: 239, 8: 201, 9: 210}","{0: 0.10249177244945933, 1: 0.0930888575458392, 2: 0.08556652562294312, 3: 0.09779031499764927, 4: 0.10249177244945933, 5: 0.11095439586271744, 6: 0.10202162670427832, 7: 0.11236483309826047, 8: 0.09449929478138223, 9: 0.09873060648801128}"
9,2620,"{0: 279, 1: 280, 2: 240, 3: 291, 4: 257, 5: 244, 6: 269, 7: 275, 8: 262, 9: 223}","{0: 0.1064885496183206, 1: 0.10687022900763359, 2: 0.0916030534351145, 3: 0.11106870229007633, 4: 0.09809160305343512, 5: 0.09312977099236641, 6: 0.10267175572519084, 7: 0.1049618320610687, 8: 0.1, 9: 0.08511450381679389}"
10,2571,"{0: 272, 1: 243, 2: 269, 3: 277, 4: 234, 5: 234, 6: 261, 7: 228, 8: 273, 9: 280}","{0: 0.10579541034616881, 1: 0.09451575262543757, 2: 0.10462854920264489, 3: 0.10774017891870867, 4: 0.09101516919486581, 5: 0.09101516919486581, 6: 0.10151691948658109, 7: 0.08868144690781797, 8: 0.10618436406067679, 9: 0.10890704006223259}"
