chunk,size,label_distribution,label_proportions
1,15380,"{0: 1538, 1: 1538, 2: 1538, 3: 1538, 4: 1538, 5: 1538, 6: 1538, 7: 1538, 8: 1538, 9: 1538}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
2,17450,"{0: 1745, 1: 1745, 2: 1745, 3: 1745, 4: 1745, 5: 1745, 6: 1745, 7: 1745, 8: 1745, 9: 1745}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
3,13990,"{0: 1399, 1: 1399, 2: 1399, 3: 1399, 4: 1399, 5: 1399, 6: 1399, 7: 1399, 8: 1399, 9: 1399}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
4,10570,"{0: 1057, 1: 1057, 2: 1057, 3: 1057, 4: 1057, 5: 1057, 6: 1057, 7: 1057, 8: 1057, 9: 1057}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
5,18220,"{0: 1822, 1: 1822, 2: 1822, 3: 1822, 4: 1822, 5: 1822, 6: 1822, 7: 1822, 8: 1822, 9: 1822}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
6,17190,"{0: 1719, 1: 1719, 2: 1719, 3: 1719, 4: 1719, 5: 1719, 6: 1719, 7: 1719, 8: 1719, 9: 1719}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
7,19530,"{0: 1953, 1: 1953, 2: 1953, 3: 1953, 4: 1953, 5: 1953, 6: 1953, 7: 1953, 8: 1953, 9: 1953}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
8,19380,"{0: 1938, 1: 1938, 2: 1938, 3: 1938, 4: 1938, 5: 1938, 6: 1938, 7: 1938, 8: 1938, 9: 1938}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
9,13620,"{0: 1362, 1: 1362, 2: 1362, 3: 1362, 4: 1362, 5: 1362, 6: 1362, 7: 1362, 8: 1362, 9: 1362}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
10,10080,"{0: 1008, 1: 1008, 2: 1008, 3: 1008, 4: 1008, 5: 1008, 6: 1008, 7: 1008, 8: 1008, 9: 1008}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
