chunk,size,label_distribution
1,8823,"{0: 856, 1: 897, 2: 885, 3: 870, 4: 884, 5: 910, 6: 878, 7: 893, 8: 880, 9: 870}"
2,3676,"{0: 372, 1: 380, 2: 365, 3: 371, 4: 361, 5: 369, 6: 352, 7: 357, 8: 375, 9: 374}"
3,1470,"{0: 129, 1: 156, 2: 169, 3: 134, 4: 157, 5: 151, 6: 148, 7: 159, 8: 133, 9: 134}"
4,13235,"{0: 1309, 1: 1329, 2: 1309, 3: 1356, 4: 1361, 5: 1294, 6: 1314, 7: 1322, 8: 1324, 9: 1317}"
5,1470,"{0: 142, 1: 142, 2: 173, 3: 131, 4: 163, 5: 131, 6: 144, 7: 150, 8: 158, 9: 136}"
6,16911,"{0: 1740, 1: 1664, 2: 1663, 3: 1696, 4: 1642, 5: 1697, 6: 1701, 7: 1687, 8: 1680, 9: 1741}"
7,1470,"{0: 148, 1: 132, 2: 145, 3: 151, 4: 150, 5: 144, 6: 151, 7: 147, 8: 155, 9: 147}"
8,735,"{0: 81, 1: 69, 2: 76, 3: 75, 4: 55, 5: 66, 6: 75, 7: 61, 8: 88, 9: 89}"
9,735,"{0: 76, 1: 80, 2: 68, 3: 60, 4: 78, 5: 68, 6: 70, 7: 88, 8: 76, 9: 71}"
10,1475,"{0: 147, 1: 151, 2: 147, 3: 156, 4: 149, 5: 170, 6: 167, 7: 136, 8: 131, 9: 121}"
