chunk,size,label_distribution,label_proportions
1,6800,"{0: 680, 1: 680, 2: 680, 3: 680, 4: 680, 5: 680, 6: 680, 7: 680, 8: 680, 9: 680}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
2,6630,"{0: 663, 1: 663, 2: 663, 3: 663, 4: 663, 5: 663, 6: 663, 7: 663, 8: 663, 9: 663}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
3,5990,"{0: 599, 1: 599, 2: 599, 3: 599, 4: 599, 5: 599, 6: 599, 7: 599, 8: 599, 9: 599}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
4,5380,"{0: 538, 1: 538, 2: 538, 3: 538, 4: 538, 5: 538, 6: 538, 7: 538, 8: 538, 9: 538}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
5,5340,"{0: 534, 1: 534, 2: 534, 3: 534, 4: 534, 5: 534, 6: 534, 7: 534, 8: 534, 9: 534}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
6,4420,"{0: 442, 1: 442, 2: 442, 3: 442, 4: 442, 5: 442, 6: 442, 7: 442, 8: 442, 9: 442}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
7,4350,"{0: 435, 1: 435, 2: 435, 3: 435, 4: 435, 5: 435, 6: 435, 7: 435, 8: 435, 9: 435}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
8,3900,"{0: 390, 1: 390, 2: 390, 3: 390, 4: 390, 5: 390, 6: 390, 7: 390, 8: 390, 9: 390}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
9,3820,"{0: 382, 1: 382, 2: 382, 3: 382, 4: 382, 5: 382, 6: 382, 7: 382, 8: 382, 9: 382}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
10,3370,"{0: 337, 1: 337, 2: 337, 3: 337, 4: 337, 5: 337, 6: 337, 7: 337, 8: 337, 9: 337}","{0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1, 4: 0.1, 5: 0.1, 6: 0.1, 7: 0.1, 8: 0.1, 9: 0.1}"
